Country,Year,MeanTemp
China,1820,5.0136
China,1821,6.284166666666667
China,1822,6.3414166666666665
China,1823,7.024363636363637
China,1833,6.0393333333333334
China,1834,6.268166666666667
China,1835,5.43425
China,1836,5.364727272727273
China,1837,8.136833333333334
China,1838,5.715
China,1839,5.519083333333334
China,1840,6.018583333333334
China,1841,5.512416666666667
China,1842,6.2785
China,1843,6.413916666666667
China,1844,6.0515
China,1845,6.023000000000001
China,1846,6.5875
China,1847,6.257083333333333
China,1848,5.93975
China,1849,6.1048333333333336
China,1850,5.907166666666667
China,1851,5.7828333333333335
China,1852,5.8575
China,1853,5.997583333333333
China,1854,6.473083333333333
China,1855,6.515583333333334
China,1856,6.095583333333334
China,1857,5.959666666666667
China,1858,6.414083333333333
China,1859,6.535166666666667
China,1860,5.609333333333333
China,1861,5.865166666666667
China,1862,5.448083333333333
China,1863,6.444583333333333
China,1864,5.8015
China,1865,6.244
China,1866,6.410416666666667
China,1867,6.759166666666666
China,1868,6.4155
China,1869,6.465833333333333
China,1870,6.159
China,1871,6.371583333333334
China,1872,6.286333333333333
China,1873,6.588166666666667
China,1874,6.6451666666666664
China,1875,6.505
China,1876,6.347416666666667
China,1877,6.181583333333333
China,1878,6.414416666666667
China,1879,6.667416666666667
China,1880,6.3835
China,1881,6.352833333333334
China,1882,6.39825
China,1883,6.026916666666667
China,1884,5.804833333333334
China,1885,5.9645
China,1886,6.11475
China,1887,6.197166666666667
China,1888,6.336416666666667
China,1889,6.31175
China,1890,6.464333333333334
China,1891,6.359333333333334
China,1892,6.060833333333333
China,1893,6.108333333333333
China,1894,6.57825
China,1895,6.035833333333334
China,1896,6.38625
China,1897,6.228083333333333
China,1898,6.562666666666667
China,1899,6.603416666666666
China,1900,6.444166666666667
China,1901,6.5375000000000005
China,1902,6.744666666666666
China,1903,6.1745833333333335
China,1904,6.350833333333334
China,1905,5.7555
China,1906,6.221833333333334
China,1907,6.308666666666666
China,1908,6.286583333333334
China,1909,6.38125
China,1910,6.0714999999999995
China,1911,6.297
China,1912,6.076083333333333
China,1913,6.138416666666667
China,1914,6.81875
China,1915,6.49275
China,1916,6.349833333333333
China,1917,6.161416666666667
China,1918,6.196833333333333
China,1919,6.607
China,1920,6.590333333333334
China,1921,6.50075
China,1922,6.677333333333333
China,1923,6.563666666666666
China,1924,6.70425
China,1925,6.555666666666666
China,1926,6.754083333333334
China,1927,6.66775
China,1928,6.774666666666667
China,1929,6.424083333333334
China,1930,6.4686666666666675
China,1931,6.3775
China,1932,6.905583333333333
China,1933,6.6299166666666665
China,1934,6.362833333333333
China,1935,6.636166666666666
China,1936,6.111583333333334
China,1937,6.5110833333333336
China,1938,6.8717500000000005
China,1939,7.0265
China,1940,6.961666666666666
China,1941,7.3455
China,1942,7.096
China,1943,7.050916666666667
China,1944,6.5305
China,1945,6.8388333333333335
China,1946,7.3540833333333335
China,1947,6.773833333333333
China,1948,7.100333333333333
China,1949,6.9755
China,1950,6.641166666666667
China,1951,6.8695
China,1952,6.640916666666667
China,1953,7.022333333333333
China,1954,6.371
China,1955,6.701666666666667
China,1956,6.299333333333333
China,1957,6.388
China,1958,7.0335833333333335
China,1959,7.039666666666667
China,1960,6.8909166666666675
China,1961,7.050583333333334
China,1962,6.703666666666667
China,1963,7.052499999999999
China,1964,6.746083333333333
China,1965,6.799916666666667
China,1966,6.962
China,1967,6.402583333333333
China,1968,6.727
China,1969,6.4559999999999995
China,1970,6.5681666666666665
China,1971,6.8462499999999995
China,1972,6.814416666666667
China,1973,7.209583333333334
China,1974,6.659416666666667
China,1975,7.1009166666666665
China,1976,6.471166666666667
China,1977,6.851333333333334
China,1978,7.048166666666667
China,1979,7.074083333333333
China,1980,6.950083333333334
China,1981,6.926416666666667
China,1982,7.14975
China,1983,6.925083333333334
China,1984,6.517916666666666
China,1985,6.7402500000000005
China,1986,6.870166666666667
China,1987,7.249
China,1988,7.220833333333333
China,1989,7.23975
China,1990,7.636
China,1991,7.097166666666667
China,1992,6.858416666666666
China,1993,6.919416666666667
China,1994,7.4959999999999996
China,1995,7.2115833333333335
China,1996,6.962666666666666
China,1997,7.367333333333333
China,1998,8.051833333333333
China,1999,7.84025
China,2000,7.238083333333333
China,2001,7.596416666666666
China,2002,7.7956666666666665
China,2003,7.522
China,2004,7.71275
China,2005,7.4135
China,2006,7.948
China,2007,8.12675
China,2008,7.566083333333334
China,2009,7.8095
China,2010,7.548416666666667
China,2011,7.357083333333334
China,2012,7.077083333333333
China,2013,9.295
India,1796,23.675250000000002
India,1797,24.8399
India,1798,23.273300000000003
India,1799,23.949416666666668
India,1800,23.911916666666666
India,1801,23.1751
India,1802,24.384333333333334
India,1803,24.145750000000003
India,1804,24.492416666666667
India,1805,24.0255
India,1806,23.926166666666667
India,1807,23.4996
India,1813,23.27125
India,1814,22.657363636363637
India,1815,22.807750000000002
India,1816,22.424
India,1817,22.5955
India,1818,22.953000000000003
India,1819,22.653583333333334
India,1820,22.84075
India,1821,23.527583333333336
India,1822,23.597416666666668
India,1823,23.471083333333333
India,1824,24.04975
India,1825,23.796083333333335
India,1826,23.859
India,1827,23.956416666666666
India,1828,23.623666666666665
India,1829,23.4435
India,1830,23.672333333333334
India,1831,23.241666666666667
India,1832,23.4586
India,1833,23.54825
India,1834,23.529500000000002
India,1835,22.658083333333334
India,1836,23.259166666666665
India,1837,23.182916666666667
India,1838,23.19291666666667
India,1839,23.24475
India,1840,23.445166666666665
India,1841,23.26075
India,1842,23.414250000000003
India,1843,23.312333333333335
India,1844,23.094083333333334
India,1845,23.34316666666667
India,1846,23.802500000000002
India,1847,23.318333333333335
India,1848,23.22758333333333
India,1849,23.22425
India,1850,23.504583333333333
India,1851,23.485166666666668
India,1852,23.378333333333334
India,1853,23.665416666666665
India,1854,23.759083333333333
