Year,AnnualAnomaly
1750,0.06140808080808157
1751,-0.6818126984126976
1752,-2.878122222222222
1753,-0.26987222222222157
1754,-0.18862222222222166
1755,-0.30237222222222143
1756,0.1916277777777783
1757,0.364044444444445
1758,-1.9143722222222215
1759,-0.6728722222222213
1760,-1.4727888888888883
1761,0.11454444444444485
1762,-0.0514555555555544
1763,-1.161205555555555
1764,-0.25762222222222136
1765,-0.4060388888888882
1766,-0.2522888888888881
1767,-0.43645555555555476
1768,-1.8766222222222213
1769,-0.9633722222222217
1770,-0.9660388888888879
1771,-0.8047888888888882
1772,-0.4644555555555548
1773,-0.43645555555555476
1774,0.114211111111112
1775,0.5251277777777784
1776,-0.35395555555555486
1777,-0.4017055555555547
1778,-0.11570555555555484
1779,0.3252944444444454
1780,0.7749611111111115
1781,-0.5553722222222218
1782,-0.7567055555555552
1783,-0.9771222222222218
1784,-0.7959555555555549
1785,-1.2949555555555547
1786,-0.39978888888888814
1787,-0.6261222222222215
1788,-0.2107888888888879
1789,-0.32378888888888824
1790,-0.6756222222222213
1791,-0.4237055555555545
1792,-0.5689555555555547
1793,-0.4287888888888882
1794,-0.1319555555555542
1795,-0.3076222222222214
1796,-0.38695555555555466
1797,-0.1473722222222215
1798,0.0122944444444452
1799,-0.1522055555555546
1800,-0.17370555555555475
1801,-0.06828888888888855
1802,-0.07978888888888831
1803,-0.15495555555555476
1804,0.18687777777777845
1805,-0.09520555555555503
1806,-0.22387222222222158
1807,-0.37653888888888853
1808,-1.0311222222222216
1809,-1.5815388888888882
1810,-1.7352888888888882
1811,-1.7984555555555546
1812,-1.6117055555555548
1813,-0.918038888888888
1814,-1.066205555555555
1815,-1.4186222222222213
1816,-1.720455555555555
1817,-1.682288888888888
1818,-0.8290388888888881
1819,-1.288788888888888
1820,-1.041705555555555
1821,-0.5678722222222213
1822,-0.46962222222222133
1823,-0.9392888888888881
1824,-0.11078888888888794
1825,-0.2686222222222215
1826,-0.30137222222222165
1827,0.15079444444444504
1828,-0.4926222222222214
1829,-0.7161222222222215
1830,-0.14120555555555478
1831,-1.0187888888888879
1832,-1.2077888888888881
1833,-0.644955555555555
1834,-0.5112055555555547
1835,-1.265455555555555
1836,-0.9621222222222214
1837,-1.2822888888888881
1838,-1.143038888888888
1839,-1.025705555555555
1840,-0.8617055555555547
1841,-0.9697888888888883
1842,-0.6352055555555549
1843,-0.4842888888888881
1844,-1.0116222222222215
1845,-0.8067888888888882
1846,-0.10520555555555482
1847,-0.5719555555555548
1848,-0.678455555555555
1849,-0.6735388888888882
1850,-0.7572888888888879
1851,-0.4793722222222216
1852,-0.557788888888888
1853,-0.6161222222222215
1854,-0.44745555555555466
1855,-0.5472055555555548
1856,-0.6620388888888881
1857,-0.8997888888888882
1858,-0.5577055555555549
1859,-0.4059555555555548
1860,-0.6971222222222216
1861,-0.8114555555555548
1862,-1.0993722222222213
1863,-0.5461222222222214
1864,-0.6743722222222215
1865,-0.48012222222222145
1866,-0.36578888888888805
1867,-0.2216222222222215
1868,-0.41003888888888795
1869,-0.22587222222222145
1870,-0.45662222222222143
1871,-0.5428722222222214
1872,-0.4641222222222216
1873,-0.30687222222222155
1874,-0.22445555555555488
1875,-0.7983722222222215
1876,-0.5778722222222216
1877,-0.11837222222222159
1878,0.17179444444444517
1879,-0.49212222222222146
1880,-0.5392055555555553
1881,-0.3870388888888885
1882,-0.5290388888888882
1883,-0.6810388888888884
1884,-0.8842888888888883
1885,-0.738288888888888
1886,-0.7034555555555547
1887,-0.743038888888888
1888,-0.5674555555555548
1889,-0.3389555555555548
1890,-0.6862888888888882
1891,-0.6386222222222214
1892,-0.5921222222222217
1893,-0.601205555555555
1894,-0.49695555555555493
1895,-0.5109555555555545
1896,-0.4430388888888879
1897,-0.36462222222222135
1898,-0.47995555555555486
1899,-0.26162222222222153
1900,-0.15637222222222147
1901,-0.11603888888888769
1902,-0.3535388888888882
1903,-0.4377888888888881
1904,-0.5670388888888883
1905,-0.4327888888888885
1906,-0.2788722222222217
1907,-0.7107888888888881
1908,-0.47187222222222175
1909,-0.47970555555555455
1910,-0.4349555555555547
1911,-0.4809555555555547
1912,-0.49253888888888825
1913,-0.3602055555555548
1914,-0.06745555555555494
1915,-0.06478888888888797
1916,-0.4327055555555548
1917,-0.6346222222222218
1918,-0.5271222222222217
1919,-0.2757055555555549
1920,-0.29920555555555484
1921,-0.08695555555555472
1922,-0.2499555555555549
1923,-0.23578888888888816
1924,-0.15112222222222113
1925,-0.12353888888888805
1926,0.07087777777777855
1927,-0.1358722222222216
1928,-0.025788888888888046
1929,-0.41553888888888785
1930,-0.024372222222221646
1931,0.06129444444444513
1932,0.04729444444444534
1933,-0.31970555555555485
1934,-0.029622222222221477
1935,-0.14220555555555467
1936,-0.10395555555555476
1937,0.04037777777777829
1938,0.20571111111111176
1939,0.10237777777777841
1940,0.10671111111111194
1941,0.11071111111111209
1942,0.0704611111111119
1943,0.09712777777777837
1944,0.1870444444444451
1945,-0.07312222222222149
1946,0.018961111111112094
1947,0.13912777777777854
1948,0.08879444444444529
1949,-0.07120555555555448
1950,-0.29270555555555444
1951,-0.03228888888888785
1952,-0.01970555555555468
1953,0.21579444444444537
1954,-0.09728888888888816
1955,-0.03170555555555469
1956,-0.37837222222222183
1957,0.07454444444444512
1958,0.11579444444444505
1959,0.07471111111111184
1960,-0.07420555555555475
1961,0.13971111111111192
1962,0.08796111111111175
1963,0.198044444444445
1964,-0.24828888888888834
1965,-0.13053888888888823
1966,-0.05862222222222154
1967,0.042127777777778354
1968,-0.1416222222222215
1969,-0.06287222222222148
1970,0.042961111111111894
1971,-0.0587055555555549
1972,-0.1583722222222214
1973,0.29029444444444524
1974,-0.19045555555555457
1975,0.0868777777777785
